par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,taxa_treino,taxa_teste,r_treino,r_teste,p_treino,p_teste,p_bin_treino,p_bin_teste,periodos_ok,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,estavel_binaria,estavel_tradicional,borda_binaria,borda_tradicional
USDCHF,M15,divergencia_rsi,baixa,ny,contra,403,0.543424317617866,0.4946107731762738,0.5914178240602371,0.53475935828877,0.38296871157665247,0.5439330543933054,0.5426829268292683,0.09090909090909091,0.5365853658536586,0.1645445195150977,4.825472332357484e-06,0.41372103676563926,0.45093309482783667,True,0.270935960591133,0.12315270935960591,0.4187192118226601,0.00013332719517293874,False,True,0.008664959329096056,False,False,False,False
GBPUSD,M15,tres_velas,baixa,londres_ny,a_favor,311,0.5530546623794212,0.49748568434936746,0.6073289741889601,0.53475935828877,0.27791709912962353,0.5439560439560439,0.5658914728682171,0.21311475409836064,0.2558139534883721,0.02619053735497795,0.026348070873478752,0.4314495647554957,0.26791670466359924,True,0.23076923076923078,0.0673076923076923,0.38461538461538464,0.0030808200671048197,False,False,0.018295304090651276,False,True,False,False
USDCAD,H1,rsi_extremo,alta,londres_ny,contra,224,0.53125,0.46592443423199204,0.5955218015517144,0.53475935828877,0.5689591370262723,0.5217391304347826,0.5465116279069767,0.13043478260869565,0.32558139534883723,0.14774389147395087,0.02354274540462874,0.6530089087753674,0.4570728811547197,True,0.20535714285714285,0.004464285714285714,0.39319196428571246,0.019101624710079902,False,False,-0.0035093582887699704,False,False,False,False
USDCAD,H1,inside_bar,alta,pos_ny,a_favor,561,0.5525846702317291,0.5112202170362196,0.5932338719451086,0.53475935828877,0.21077450908964376,0.5171428571428571,0.6113744075829384,0.11331444759206799,0.33649289099526064,0.07164923269795144,0.0006277476200317007,0.7626508503157086,0.01495214270601769,True,0.19680851063829788,0.07446808510638298,0.31396276595744604,0.0007800045856757366,False,False,0.01782531194295911,False,False,False,False
USDJPY,H1,rompimento,alta,asia,contra,222,0.5135135135135135,0.4480967614544488,0.5784705483359278,0.53475935828877,0.7588427384710862,0.43333333333333335,0.6078431372549019,-0.05,0.47058823529411764,0.6516947334106611,0.0010623863441161846,0.9897426690496379,0.08322627944175738,True,0.1891891891891892,0.0,0.3783783783783784,0.028289625171681206,False,False,-0.021245844775256484,False,False,False,False
AUDUSD,H1,doji,baixa,londres_ny,contra,259,0.555984555984556,0.49509436874519397,0.6152383014892354,0.53475935828877,0.2671244578236289,0.539568345323741,0.575,-0.014285714285714285,0.425,0.547485576613244,0.0012282210513732356,0.4893685824790262,0.21439862925927242,True,0.18846153846153846,0.015384615384615385,0.3730769230769231,0.01986034677592729,False,False,0.021225197695786013,False,False,False,False
AUDUSD,M15,rsi_extremo,baixa,ny,contra,504,0.5555555555555556,0.5119160864613476,0.5983545482561149,0.53475935828877,0.18643324097243608,0.5463258785942492,0.5706806282722513,0.09779179810725552,0.33678756476683935,0.11494306971735356,0.0010114902263975568,0.36228289496453897,0.178147845831446,True,0.18823529411764706,0.058823529411764705,0.317794117647058,0.0019809647748903485,False,False,0.02079619726678561,False,False,False,False
EURUSD,M15,cruzamento_emas,baixa,londres,a_favor,354,0.5169491525423728,0.464991525331499,0.5685428785342445,0.53475935828877,0.7659590512974689,0.52046783625731,0.5136612021857924,0.22807017543859648,0.15135135135135136,0.022695257981591766,0.08052356075540915,0.6745734834263633,0.7412285366058404,True,0.18820224719101122,0.03651685393258427,0.34831460674157305,0.008080820638685251,False,False,-0.017810205746397134,False,False,False,False
USDCHF,M15,harami,baixa,ny,a_favor,478,0.5418410041841004,0.49701846809539113,0.58599638931829,0.53475935828877,0.39607347058735815,0.5572755417956656,0.5096774193548387,0.11692307692307692,0.3291139240506329,0.07384593176866142,0.0031667658655024486,0.22516150669995322,0.7603140719976844,True,0.18633540372670807,0.055900621118012424,0.32298136645962733,0.0027488067231007,False,False,0.007081645895330446,False,False,False,False
USDCHF,M15,pinca,baixa,ny,contra,605,0.5586776859504132,0.5188641182849302,0.597750804978549,0.53475935828877,0.12734027962927347,0.5721925133689839,0.5367965367965368,0.07086614173228346,0.3717948717948718,0.16854916562565483,9.329574483886747e-05,0.08060944574603655,0.5021581064495703,True,0.18536585365853658,0.0730487804878051,0.2975609756097561,0.0009100253013245747,False,False,0.023918327661643257,False,False,False,False
USDCHF,M15,harami,baixa,ny,contra,561,0.5436720142602496,0.5022975789443378,0.5844524271587992,0.53475935828877,0.35196758672911926,0.5702702702702702,0.49214659685863876,0.096,0.35233160621761656,0.09976010845438175,0.0006360956846659438,0.09367723128477493,0.894821929804965,True,0.18309859154929578,0.061619718309859156,0.2992957746478873,0.0015336066397016233,False,False,0.00891265597147961,False,False,False,False
EURUSD,H1,engolfo,baixa,londres_ny,a_favor,257,0.5486381322957199,0.48752755697910355,0.6083161026639188,0.53475935828877,0.3511598023179517,0.5083333333333333,0.583941605839416,0.175,0.18248175182481752,0.09743458387524788,0.07445541288210442,0.7494589231977706,0.14256864691980048,True,0.17898832684824903,0.0038910505836575876,0.3657587548638132,0.025865873258785428,False,False,0.013878774006949923,False,False,False,False
USDCHF,M15,doji,baixa,ny,contra,1461,0.5352498288843258,0.5096160487184606,0.5606987279283738,0.53475935828877,0.4957109337278488,0.5388951521984217,0.5296167247386759,0.06494960806270997,0.33448275862068966,0.08847271729372502,4.9059800141767454e-08,0.4158490943378516,0.613979502689046,True,0.1710794297352342,0.09979633401221996,0.24643584521384929,3.928971189032667e-06,False,True,0.0004904705955558475,False,False,False,False
AUDUSD,M15,pinca,baixa,ny,contra,612,0.5245098039215687,0.48491441389941753,0.5637994223815118,0.53475935828877,0.7086601679920171,0.5459057071960298,0.48325358851674644,0.0962962962962963,0.3080568720379147,0.09053342867400517,0.0015093894377582338,0.34545176062580896,0.9407098058665622,True,0.16883116883116883,0.056818181818181816,0.28084415584415584,0.0021773643765731054,False,False,-0.010249554367201319,False,False,False,False
USDCAD,H1,doji,alta,pos_ny,a_favor,234,0.6025641025641025,0.5386927864457116,0.6631223228207792,0.53475935828877,0.021647181184996072,0.5748031496062992,0.6355140186915887,0.1484375,0.16666666666666666,0.1267367674177246,0.12054281736716733,0.20756469629666366,0.02252749594599121,True,0.15677966101694915,-0.0211864406779661,0.3474576271186441,0.050558100259162464,False,False,0.06780474427533256,False,False,False,False
USDJPY,H1,doji,alta,pos_ny,a_favor,287,0.5296167247386759,0.47186188972476173,0.5865891992944301,0.53475935828877,0.5929231275764041,0.564935064935065,0.48872180451127817,0.2967741935483871,-0.007518796992481203,0.007143914195052235,0.52435335713868,0.2518308012319518,0.8751216884015062,True,0.15625,-0.020833333333333332,0.3229166666666667,0.03544264479513278,False,False,-0.0051426335500940334,False,False,False,False
USDJPY,H1,engolfo,alta,asia,contra,378,0.5476190476190477,0.49721499476060355,0.5970649718810099,0.53475935828877,0.3268381471423418,0.5078125,0.6311475409836066,0.10894941634241245,0.2540983606557377,0.1148984399509503,0.030646586530048522,0.8230902872360728,0.01993594198962869,True,0.15567282321899736,0.005079155672823568,0.29815303430079154,0.01941955428804567,False,False,0.012859689330277702,False,False,False,False
GBPUSD,M15,rsi_extremo,baixa,ny,contra,558,0.4946236559139785,0.4533189118535523,0.5360019189505787,0.53475935828877,0.9738884635046473,0.4940828402366864,0.4954545454545455,0.041176470588235294,0.33031674208144796,0.29792783585329063,0.0005885817628546322,0.9397370091474162,0.8917343070850077,True,0.15508021390374332,0.0374331550802139,0.27807486631016043,0.006109144707723293,False,False,-0.04013570237479147,False,False,False,False
USDCHF,M15,inside_bar,baixa,ny,contra,2830,0.5448763250883393,0.526480683300445,0.5631503012450711,0.53475935828877,0.14452110561422135,0.5392699115044248,0.5547945205479452,0.03839824465167307,0.35174418604651164,0.1254743941549077,4.237411753437362e-14,0.35925603492111674,0.10506248700499392,True,0.15166374781085815,0.09804728546409812,0.20317863397548147,1.5301168756967437e-08,False,True,0.010116966799569305,False,False,False,False
AUDUSD,M15,doji,baixa,ny,contra,1382,0.5412445730824892,0.5148951398196717,0.5673653520096105,0.53475935828877,0.32424287684706854,0.5408284023668639,0.5418994413407822,0.03508771929824561,0.33455882352941174,0.23617133903235585,1.2165566598615325e-07,0.37506600383220207,0.38686419701327246,True,0.15153681200857755,0.0764832022873481,0.22873481057898498,5.387748503228209e-05,False,True,0.006485214793719218,False,False,False,False
USDCAD,M15,tres_velas,alta,londres,contra,279,0.5591397849462365,0.5004698236130379,0.6162033124172784,0.53475935828877,0.22490431733370275,0.5502958579881657,0.5727272727272728,0.13609467455621302,0.17272727272727273,0.113567693716807,0.11031948262992643,0.37218466401774886,0.2415361784371637,True,0.15053763440860216,-0.021505376344086023,0.3225806451612903,0.04321287978330115,False,False,0.024380426657466536,False,False,False,False
USDCHF,M15,pinca,baixa,ny,a_favor,543,0.5616942909760589,0.5196717998799678,0.6028500003955466,0.53475935828877,0.11201358316645799,0.5626822157434402,0.56,0.057803468208092484,0.3069306930693069,0.22716688763852114,0.0019182292048419319,0.16290003533539313,0.25990449419052924,True,0.14963503649635038,0.029197080291970802,0.2755474452554745,0.008375788153700766,False,False,0.02693493268728897,False,False,False,False
USDJPY,H1,rompimento,baixa,asia,a_favor,661,0.5007564296520424,0.4627454997609555,0.5387586182309847,0.53475935828877,0.9632861448745647,0.5133333333333333,0.47393364928909953,0.15333333333333332,0.12322274881516587,0.013244038377433601,0.11005984544273789,0.8311109862851052,0.9669915617929664,True,0.1437216338880484,0.030257186081694403,0.25718608169440244,0.005752962099519158,False,False,-0.0340029286367276,False,False,False,False
EURUSD,M15,harami,alta,ny,a_favor,302,0.5033112582781457,0.44723452124208374,0.559304814555332,0.53475935828877,0.8755489428073989,0.558282208588957,0.43884892086330934,0.14545454545454545,0.1223021582733813,0.10152213601096155,0.16202515456665434,0.3008154701736512,0.9906009106872471,True,0.13486842105263158,-0.023026315789473683,0.29276315789473684,0.05382425927693292,False,False,-0.03144810001062426,False,False,False,False
EURUSD,M5,divergencia_rsi,baixa,ny,contra,735,0.5238095238095238,0.4876733300358891,0.5596981318415555,0.53475935828877,0.7365045490031267,0.502906976744186,0.5421994884910486,0.046808202360657136,0.21212121212121213,0.27006075201722424,0.0022046830345036836,0.8921336246381404,0.4039634318626654,True,0.13456148904320375,0.031593122797636326,0.23911912979387395,0.005842427654771027,False,False,-0.010949834479246134,False,False,False,False
USDCAD,M15,divergencia_rsi,baixa,ny,contra,404,0.5668316831683168,0.5181077404438138,0.6142966506059467,0.53475935828877,0.10687514640092398,0.5537190082644629,0.5864197530864198,0.004081632653061225,0.32515337423312884,0.4820571831523787,0.0030581364761758513,0.2995608797411106,0.1073355403408462,True,0.1323529411764706,-0.014705882352941176,0.27205882352941174,0.033537268256861666,False,False,0.03207232487954681,False,False,False,False
GBPUSD,M15,piercing_nuvem,alta,londres,contra,204,0.5098039215686274,0.4416601096971432,0.5775853287379805,0.53475935828877,0.7838571352494178,0.4732824427480916,0.5753424657534246,0.07633587786259542,0.21621621621621623,0.2731599535996032,0.10688194160606142,0.9327941998940037,0.28245676797340014,True,0.12682926829268293,-0.06341463414634146,0.33170731707317075,0.10693971283821227,False,False,-0.024955436720142554,False,False,False,False
EURUSD,M15,pin_bar,baixa,londres,a_favor,516,0.4437984496124031,0.4015025232229153,0.48692499825338637,0.53475935828877,0.9999854830401754,0.4698275862068966,0.4225352112676056,0.21551724137931033,0.05263157894736842,0.013555170369548014,0.2680409073222091,0.979627580583262,0.9999403886448925,True,0.12572533849129594,-0.0019342359767891683,0.25338491295938104,0.02490895222777891,False,False,-0.09096090867636686,False,False,False,False
EURUSD,M15,harami,baixa,ny,contra,315,0.5111111111111111,0.4561085343888069,0.5658459505326053,0.53475935828877,0.8154485251094349,0.5,0.5220125786163522,0.06329113924050633,0.18518518518518517,0.29065136120378493,0.05553856072519446,0.8291433961256904,0.6565662596577109,True,0.125,-0.025234374999999587,0.284375,0.06261863013112098,False,False,-0.0236482471776589,False,False,False,False
USDCAD,H1,harami,alta,londres,contra,207,0.4830917874396135,0.4159476432674967,0.5508520552398399,0.53475935828877,0.9404549632602969,0.49206349206349204,0.4691358024691358,0.06299212598425197,0.2222222222222222,0.31151774586378683,0.0906675271541742,0.8531430442975954,0.9022741917477629,True,0.125,-0.07692307692307693,0.3269230769230769,0.10850767150160953,False,False,-0.05166757084915646,False,False,False,False
AUDUSD,M15,inside_bar,baixa,ny,contra,2595,0.5364161849710982,0.5171900229819807,0.5555346903161381,0.53475935828877,0.44074448335034394,0.5385579937304075,0.533,-0.05772811918063315,0.40828402366863903,0.9517947446583632,7.83229617555991e-18,0.39031368611094,0.5572296152653811,True,0.12228571428571429,0.06857142857142857,0.176,8.271672555524801e-06,False,True,0.0016568266823282496,False,False,False,False
GBPUSD,M15,doji,baixa,ny,contra,1443,0.5273735273735274,0.501575721334774,0.5530259763967744,0.53475935828877,0.7221551334183713,0.5172786177105831,0.5454545454545454,0.04516129032258064,0.2583655933402774,0.1678986188915865,3.657959387633168e-05,0.8641750522192962,0.32903481004811563,True,0.12209067800937845,0.049925729555770196,0.19588731849662616,0.0006831095089781523,False,False,-0.007385830915242586,False,False,False,False
USDJPY,M15,tres_velas,alta,londres_ny,a_favor,376,0.4946808510638298,0.44445495610858576,0.545014334546471,0.53475935828877,0.9461300078730475,0.5296803652968036,0.445859872611465,0.1506849315068493,0.08227848101265822,0.06433475030241237,0.23764887424409162,0.5870039006400665,0.9895697849438829,True,0.1220159151193634,-0.021220159151193633,0.26525198938992045,0.05197843804239252,False,False,-0.04007850722494016,False,False,False,False
EURUSD,H1,engolfo,baixa,londres_ny,contra,272,0.5147058823529411,0.4555213210694613,0.5734808457338989,0.53475935828877,0.7655937190216696,0.45255474452554745,0.5777777777777777,0.021739130434782608,0.2222222222222222,0.4291111482181526,0.041627932797129945,0.9779085536391608,0.1799942731489355,True,0.12087912087912088,-0.054945054945054944,0.2967032967032967,0.08533928781685986,False,False,-0.020053475935828846,False,False,False,False
USDJPY,M15,estrela,alta,asia,contra,466,0.5042918454935622,0.45904758252111405,0.5494659275680976,0.53475935828877,0.9137662900691286,0.5080906148867314,0.4968152866242038,0.1032258064516129,0.1464968152866242,0.1053268193130617,0.10564448960120243,0.8405925396968362,0.8492212527191405,True,0.11777301927194861,-0.017130620985010708,0.25267665952890794,0.040149182794171484,False,False,-0.030467512795207763,False,False,False,False
USDJPY,H1,engolfo,alta,londres,a_favor,369,0.5501355013550135,0.4991197556403043,0.600118135223635,0.53475935828877,0.29493126494615424,0.5660377358490566,0.5286624203821656,0.18309859154929578,0.02730960796126164,0.035211165655561406,0.40523678439842603,0.19943388719937014,0.592818526760631,True,0.11699353635112993,-0.020892436050902546,0.2591849862898869,0.06085068796172447,False,False,0.015376143066243575,False,False,False,False
GBPUSD,H1,engolfo,baixa,asia,a_favor,274,0.5072992700729927,0.4484123474729691,0.5659843520584042,0.53475935828877,0.8344543342461122,0.4642857142857143,0.5370370370370371,0.09821428571428571,0.12962962962962962,0.23774808175753348,0.12974679020977467,0.9439063823595409,0.5089577706435088,True,0.11678832116788321,-0.058394160583941604,0.291970802919708,0.0922163951838845,False,False,-0.02746008821577728,False,False,False,False
USDJPY,M15,piercing_nuvem,alta,asia,contra,205,0.5756097560975609,0.5071718862471486,0.6412660732224593,0.53475935828877,0.13500233200329675,0.5544554455445545,0.5961538461538461,0.04854368932038835,0.18269230769230768,0.36625105455866835,0.10441584804452958,0.38409047900046317,0.12342400213016144,True,0.11594202898550725,-0.07246376811594203,0.30434782608695654,0.12622365060213656,False,False,0.04085039780879096,False,False,False,False
USDJPY,H1,doji,alta,asia,contra,472,0.538135593220339,0.49303264541179725,0.5826228052276257,0.53475935828877,0.4602358867906661,0.526813880126183,0.5612903225806452,0.07210031347962383,0.2,0.18591472033865908,0.04664628347512523,0.6334461154798865,0.2808728338355293,True,0.11392405063291139,-0.0189873417721519,0.25316455696202533,0.04401824449835199,False,False,0.003376234931569022,False,False,False,False
USDCHF,H1,cruzamento_emas,alta,londres,contra,318,0.5314465408805031,0.47655234021058934,0.5855900577057167,0.53475935828877,0.5698026178943276,0.5145631067961165,0.5625,0.1796116504854369,-0.008928571428571428,0.04038254397395395,0.5265164989513837,0.7427260290799711,0.31139161570830814,True,0.11320754716981132,-0.03773584905660377,0.2830188679245283,0.08263554904099878,False,False,-0.0033128174082668327,False,False,False,False
